Elevator,Floor,Layout,Region,Renovation,Size,Year,Price
无电梯,6,2室1厅,东城,精装,81,2003,950
有电梯,12,1室1厅,丰台,简装,42,1996,262
有电梯,13,3室1厅,丰台,精装,118,2005,900
有电梯,20,1室1厅,西城,简装,27,2004,360
有电梯,19,3室1厅,房山,精装,111,2012,519
无电梯,6,1室1厅,东城,精装,62,1996,660
无电梯,7,3室1厅,昌平,简装,129,2002,490
无电梯,5,3室1厅,海淀,精装,112,2004,672
,16,1室2厅,大兴,简装,76,2010,370
,18,3室2厅,通州,精装,154,2013,480
有电梯,28,3室1厅,通州,其他,126,2002,550
有电梯,21,3室1厅,西城,精装,64,1989,690
有电梯,25,2室1厅,丰台,简装,110,2000,575
有电梯,15,2室1厅,海淀,精装,122,2003,1200
有电梯,19,2室1厅,朝阳,精装,120,2001,820
有电梯,20,4室1厅,海淀,精装,140,2000,1200
有电梯,26,1室1厅,石景山,精装,56,2005,385
,24,3室1厅,西城,简装,106,2000,840
,6,2室2厅,大兴,其他,90,1995,350
,6,2室1厅,大兴,简装,96,2004,395
有电梯,11,2室1厅,房山,精装,107,2007,350
,18,2室1厅,大兴,简装,86,2009,455
无电梯,6,2室1厅,朝阳,简装,58,1984,349
,9,3室2厅,大兴,精装,104,2015,650
有电梯,25,2室1厅,朝阳,简装,89,2000,530
有电梯,18,3室1厅,丰台,简装,69,1993,480
有电梯,15,1室2厅,丰台,精装,82,2007,560
,27,2室1厅,朝阳,简装,77,2006,490
无电梯,6,3室1厅,朝阳,其他,73,1985,450
有电梯,12,2室1厅,西城,简装,122,2003,1400
,13,4室2厅,昌平,精装,263,2001,920
,12,1室1厅,丰台,其他,51,1997,249
有电梯,11,4室1厅,大兴,精装,185,2002,700
无电梯,6,2室1厅,大兴,简装,54,1988,235
有电梯,9,3室2厅,昌平,其他,136,2005,580
有电梯,27,1室0厅,丰台,精装,49,2008,335
,11,2室2厅,平谷,简装,88,2014,260
,6,2室1厅,海淀,精装,75,1994,575
,11,3室2厅,丰台,精装,142,2002,718
,18,2室1厅,丰台,简装,82,1999,460
,9,3室1厅,通州,精装,91,2017,650
有电梯,23,2室1厅,朝阳,精装,97,2005,600
,3,4室2厅,顺义,精装,302,2009,1180
,27,2室2厅,海淀,精装,96,2009,672
无电梯,6,2室1厅,海淀,简装,58,1987,460
有电梯,28,3室1厅,丰台,精装,120,2003,620
,6,3室2厅,顺义,其他,157,2009,608
,28,3室1厅,朝阳,简装,130,2003,980
有电梯,16,3室1厅,东城,精装,173,2001,1700
有电梯,9,2室1厅,房山,精装,90,2013,477
无电梯,6,1室1厅,大兴,简装,55,2004,289
,18,2室1厅,丰台,精装,59,1994,360
无电梯,6,2室1厅,海淀,精装,57,1997,485
无电梯,6,2室1厅,海淀,简装,84,2004,550
,4,3室1厅,西城,其他,83,1950,1200
,17,1室1厅,顺义,精装,86,2003,258
,14,3室1厅,朝阳,精装,118,2010,700
有电梯,18,1室0厅,东城,精装,64,2000,518
有电梯,16,3室1厅,石景山,简装,85,1994,410
,6,2室1厅,昌平,简装,66,1989,200
有电梯,20,1室0厅,西城,精装,49,2008,435
有电梯,29,2室1厅,大兴,精装,90,2015,520
无电梯,6,3室2厅,通州,简装,158,2000,600
无电梯,6,1室1厅,丰台,简装,54,1995,245
无电梯,6,1室1厅,东城,简装,55,2003,605
无电梯,6,3室2厅,昌平,简装,128,2005,575
,23,1室0厅,丰台,精装,52,2008,290
,20,2室1厅,房山,精装,89,2011,275
无电梯,6,3室1厅,门头沟,简装,115,1996,395
无电梯,6,3室2厅,大兴,精装,88,1991,401
有电梯,16,3室2厅,大兴,精装,60,2012,460
无电梯,6,2室1厅,通州,简装,79,2005,435
,29,2室2厅,西城,精装,111,2006,1220
无电梯,5,3室1厅,朝阳,精装,81,1980,529
无电梯,5,2室1厅,朝阳,简装,65,1985,510
,12,3室1厅,房山,其他,99,2014,275
无电梯,6,2室1厅,海淀,精装,58,1994,410
,3,6室3厅,顺义,精装,543,2011,2460
,28,2室1厅,通州,精装,96,2004,425
,5,2室1厅,昌平,毛坯,50,1986,170
有电梯,24,2室1厅,丰台,精装,83,1999,525
无电梯,6,4室3厅,昌平,简装,216,2000,698
,22,1室1厅,丰台,简装,68,2006,385
有电梯,19,2室1厅,东城,简装,91,2001,596
无电梯,6,3室1厅,昌平,精装,128,2002,490
,6,3室1厅,丰台,简装,90,2011,652
无电梯,6,1室1厅,西城,精装,49,2004,600
有电梯,11,1室1厅,朝阳,简装,66,2007,400
无电梯,4,2室1厅,大兴,其他,55,1985,248
有电梯,20,1室1厅,朝阳,精装,53,1997,330
,6,1室1厅,丰台,其他,66,1996,320
无电梯,7,3室2厅,朝阳,精装,137,1999,960
有电梯,10,4室2厅,昌平,精装,175,2008,900
无电梯,5,1室1厅,海淀,精装,76,2005,525
,20,2室1厅,通州,精装,84,2015,340
有电梯,24,2室1厅,丰台,简装,65,1999,334
有电梯,12,3室2厅,亦庄开发区,毛坯,129,2013,750
无电梯,6,3室1厅,海淀,简装,115,1996,1250
有电梯,12,6室2厅,东城,精装,608,2008,5000
有电梯,21,2室1厅,丰台,简装,102,2004,530
有电梯,13,2室1厅,西城,简装,73,1998,590
无电梯,6,4室2厅,亦庄开发区,毛坯,198,2001,690
,6,3室1厅,海淀,精装,122,2004,1200
有电梯,21,2室2厅,丰台,精装,113,2006,890
,27,2室1厅,朝阳,精装,96,2006,660
,11,2室1厅,丰台,精装,89,2010,590
有电梯,16,3室2厅,大兴,毛坯,143,2006,580
,10,2室2厅,顺义,简装,100,2009,260
无电梯,6,2室1厅,石景山,毛坯,53,1985,305
,19,3室1厅,大兴,其他,126,2006,445
有电梯,17,2室1厅,房山,精装,75,2012,324
有电梯,29,2室1厅,大兴,简装,88,2015,450
,18,2室1厅,海淀,精装,73,1992,588
有电梯,24,2室1厅,丰台,其他,76,1990,410
有电梯,15,3室2厅,昌平,简装,154,2007,820
有电梯,24,1室1厅,朝阳,精装,67,2001,390
有电梯,12,1室1厅,西城,简装,55,1994,570
无电梯,6,3室1厅,西城,简装,86,1990,815
,4,2室1厅,海淀,简装,48,1980,345
,8,3室2厅,房山,精装,137,2014,590
,9,3室1厅,昌平,精装,147,2001,530
,6,4室2厅,昌平,精装,160,2001,520
有电梯,18,2室1厅,海淀,精装,75,2008,450
有电梯,18,2室1厅,通州,毛坯,88,2012,405
,15,2室1厅,昌平,其他,82,2010,405
无电梯,6,2室1厅,丰台,精装,54,1988,310
无电梯,6,3室2厅,丰台,简装,98,1998,530
有电梯,18,2室1厅,丰台,其他,81,2002,460
有电梯,20,3室1厅,朝阳,精装,131,2007,1085
无电梯,6,3室1厅,大兴,简装,105,1995,380
有电梯,21,2室1厅,丰台,精装,113,2006,600
有电梯,21,1室0厅,朝阳,精装,45,2007,288
,12,1室1厅,通州,简装,67,2005,306
,32,2室1厅,昌平,简装,93,2003,385
无电梯,6,2室1厅,石景山,精装,70,1998,340
,6,3室1厅,西城,简装,78,1985,1080
无电梯,6,2室1厅,西城,精装,54,1980,755
无电梯,6,2室1厅,海淀,毛坯,60,1992,710
无电梯,6,2室1厅,房山,简装,85,1999,270
有电梯,6,3室2厅,东城,精装,170,1996,1600
,15,3室2厅,房山,精装,166,2015,788
无电梯,6,2室1厅,朝阳,精装,55,1982,360
无电梯,4,6室3厅,大兴,简装,258,2000,860
,6,2室1厅,大兴,精装,82,2003,285
有电梯,12,4室2厅,大兴,精装,187,2005,800
,10,2室1厅,东城,精装,50,1990,580
无电梯,6,2室1厅,丰台,简装,57,1996,303
有电梯,9,3室2厅,房山,精装,212,2007,636
无电梯,6,3室1厅,海淀,简装,80,1994,560
有电梯,28,2室2厅,朝阳,精装,145,2002,670
,15,3室1厅,房山,精装,95,2014,275
有电梯,27,2室1厅,丰台,其他,84,2010,402
有电梯,27,3室1厅,通州,简装,127,2015,720
有电梯,30,3室2厅,丰台,简装,115,2009,595
,5,2室1厅,西城,简装,47,1975,622
无电梯,6,2室1厅,通州,简装,91,2004,430
有电梯,18,3室1厅,房山,精装,89,2014,378
,20,3室1厅,朝阳,精装,86,2010,380
有电梯,12,5室2厅,丰台,简装,178,2003,589
无电梯,7,3室2厅,门头沟,简装,150,1999,550
无电梯,6,2室1厅,房山,其他,64,1995,210
,18,2室1厅,朝阳,精装,92,2008,690
,16,2室1厅,石景山,简装,91,1996,398
有电梯,20,1室1厅,西城,精装,39,1992,474
有电梯,30,3室2厅,丰台,精装,104,2001,720
有电梯,32,3室1厅,昌平,简装,112,2003,427
有电梯,15,2室2厅,昌平,简装,84,2010,420
,6,2室1厅,房山,简装,67,1994,235
无电梯,5,3室2厅,亦庄开发区,其他,198,2003,1150
,17,1室0厅,大兴,简装,51,2011,308
有电梯,33,3室1厅,大兴,简装,124,2013,620
有电梯,24,3室1厅,丰台,其他,140,2000,820
,18,1室1厅,平谷,其他,67,2014,199
无电梯,6,3室1厅,丰台,简装,122,1999,850
无电梯,6,2室1厅,海淀,精装,62,1986,588
无电梯,6,3室1厅,石景山,毛坯,68,1984,330
无电梯,6,1室1厅,丰台,精装,64,2002,380
有电梯,26,3室1厅,东城,精装,140,2004,1600
有电梯,28,3室1厅,朝阳,简装,132,2001,900
无电梯,6,3室2厅,海淀,简装,115,2000,720
,20,1室1厅,朝阳,精装,71,2005,650
无电梯,6,2室1厅,海淀,精装,79,2001,450
有电梯,28,4室2厅,朝阳,精装,245,2007,1600
有电梯,12,2室1厅,丰台,简装,100,2006,580
无电梯,7,3室1厅,石景山,精装,93,1999,480
,11,2室1厅,房山,简装,80,2011,280
有电梯,20,3室1厅,朝阳,精装,109,2005,630
有电梯,20,2室1厅,朝阳,简装,78,2000,435
,23,2室2厅,朝阳,精装,108,2004,1050
,6,3室1厅,海淀,精装,83,1994,1030
有电梯,18,4室1厅,朝阳,精装,262,2005,2000
有电梯,13,4室2厅,昌平,毛坯,256,2001,830
无电梯,6,1室1厅,西城,其他,45,1987,460
,24,2室1厅,西城,精装,72,1991,880
无电梯,6,2室1厅,海淀,简装,80,2000,735
有电梯,15,2室1厅,大兴,简装,86,2009,517.2
有电梯,12,3室2厅,通州,精装,127,2005,700
无电梯,7,5室2厅,丰台,简装,198,2004,750
无电梯,6,1室1厅,丰台,简装,60,1996,305
有电梯,15,2室1厅,东城,简装,83,2004,750
无电梯,7,2室1厅,通州,精装,98,2002,420
无电梯,6,3室2厅,大兴,其他,127,2000,449
无电梯,6,2室1厅,昌平,简装,96,1999,395
,25,2室2厅,丰台,精装,97,2012,465
,5,2室1厅,顺义,简装,67,1996,285
有电梯,20,3室2厅,朝阳,精装,148,2008,700
有电梯,15,2室1厅,昌平,简装,82,2010,412
,12,2室2厅,朝阳,精装,93,2008,747
有电梯,9,2室1厅,朝阳,精装,82,2009,730
,7,2室1厅,昌平,精装,93,2000,460
无电梯,6,3室1厅,亦庄开发区,其他,100,1995,450
,30,3室2厅,丰台,简装,129,2003,770
,6,2室1厅,西城,精装,63,1984,795
有电梯,24,3室2厅,丰台,其他,145,2001,870
,6,3室2厅,亦庄开发区,简装,101,1995,450
无电梯,6,2室1厅,海淀,简装,57,1998,342
有电梯,29,3室1厅,丰台,简装,118,2005,660
有电梯,12,2室1厅,昌平,精装,103,2004,450
,30,1室1厅,朝阳,精装,53,2005,346
,14,1室1厅,朝阳,简装,40,1983,263
,6,1室1厅,东城,精装,45,1989,570
有电梯,16,2室1厅,东城,简装,89,2004,668
,17,2室1厅,房山,毛坯,75,2012,320
无电梯,6,2室1厅,西城,精装,58,1988,750
无电梯,6,3室2厅,朝阳,简装,112,1999,920
,6,1室1厅,海淀,精装,40,1988,435
无电梯,6,2室2厅,丰台,其他,102,2001,410
有电梯,17,3室1厅,丰台,简装,109,1998,595
,5,3室1厅,昌平,精装,128,2000,550
,6,2室1厅,丰台,简装,63,1996,351.7
,12,1室1厅,昌平,精装,69,2004,405
无电梯,6,2室1厅,西城,简装,62,1982,595
,12,3室1厅,昌平,精装,127,2005,598
,13,3室2厅,丰台,精装,130,2005,620
,7,3室2厅,海淀,精装,126,1998,1265
无电梯,6,2室1厅,海淀,其他,55,1989,558
有电梯,24,3室2厅,朝阳,简装,205,2000,1100
有电梯,18,2室1厅,石景山,其他,130,2004,720
有电梯,25,2室1厅,大兴,其他,83,1996,280
有电梯,28,1室0厅,丰台,简装,55,2005,290
有电梯,16,3室1厅,海淀,精装,67,1987,620
无电梯,6,3室1厅,东城,简装,83,2003,1100
有电梯,18,2室1厅,房山,简装,76,2014,310
有电梯,16,3室1厅,石景山,简装,85,1999,410
有电梯,20,1室0厅,丰台,精装,49,2012,320
无电梯,6,2室1厅,昌平,简装,99,2007,390
,16,3室2厅,朝阳,精装,119,2010,570
有电梯,18,1室0厅,丰台,其他,34,1990,225
无电梯,6,2室1厅,丰台,其他,91,2001,410
有电梯,24,3室1厅,东城,其他,191,2008,1130
无电梯,4,2室2厅,海淀,简装,77,1998,600
,5,2室1厅,房山,简装,85,2010,278
有电梯,6,4室2厅,通州,简装,260,2014,1050
有电梯,14,1室0厅,海淀,简装,47,2004,680
无电梯,7,3室2厅,昌平,精装,148,2000,428
,6,2室1厅,昌平,简装,86,1999,325
有电梯,19,1室0厅,昌平,精装,66,2004,300
有电梯,22,4室1厅,朝阳,精装,192,2007,1690
,2,8室2厅,顺义,精装,293,2009,1400
无电梯,6,2室1厅,顺义,其他,64,1991,255
无电梯,6,2室1厅,房山,简装,72,2001,235
,9,2室1厅,昌平,精装,88,2009,390
,20,2室1厅,房山,精装,85,2014,318
无电梯,6,2室1厅,丰台,简装,70,1994,287
无电梯,5,2室1厅,西城,简装,62,1987,820
无电梯,6,2室1厅,门头沟,简装,54,1993,210
,22,6室2厅,海淀,简装,277,2003,2150
有电梯,6,4室2厅,海淀,毛坯,240,2009,1180
有电梯,17,2室1厅,西城,简装,123,1999,1417
有电梯,28,2室2厅,朝阳,精装,97,2006,710
,6,3室2厅,昌平,精装,115,2000,510
,6,3室1厅,东城,精装,94,1987,690
有电梯,20,3室1厅,西城,其他,86,1991,1076
有电梯,9,3室2厅,顺义,精装,140,2013,540
无电梯,6,2室1厅,通州,简装,100,1991,410
,16,3室2厅,海淀,精装,131,2000,1500
有电梯,13,3室1厅,昌平,简装,121,2001,463
有电梯,12,1室1厅,丰台,简装,69,2010,500
,24,2室1厅,丰台,毛坯,87,2000,428
无电梯,6,2室1厅,西城,其他,58,1992,520
有电梯,11,2室1厅,房山,精装,85,2012,315
有电梯,16,3室2厅,房山,简装,118,2007,368
无电梯,6,2室1厅,昌平,精装,108,2002,470
有电梯,6,3室1厅,昌平,其他,129,2004,720
无电梯,6,2室1厅,昌平,精装,74,1995,390
无电梯,6,2室2厅,海淀,其他,81,1993,890
有电梯,15,2室2厅,丰台,简装,90,2010,613
有电梯,25,4室1厅,西城,简装,176,2002,1050
有电梯,18,2室1厅,海淀,简装,59,1984,508
无电梯,6,1室1厅,昌平,其他,66,2005,287
有电梯,15,2室2厅,大兴,简装,89,2008,420
有电梯,25,3室1厅,朝阳,精装,133,2007,1180
有电梯,16,2室1厅,丰台,精装,85,2005,445
有电梯,17,1室1厅,东城,其他,107,2000,780
有电梯,9,3室1厅,朝阳,精装,128,2006,1050
,6,5室2厅,昌平,简装,369,2000,920
,7,3室1厅,西城,简装,105,1997,800
无电梯,6,1室1厅,西城,简装,42,1989,620
无电梯,6,2室1厅,朝阳,简装,89,2004,339
有电梯,23,1室2厅,朝阳,精装,85,2005,525
有电梯,11,2室1厅,西城,精装,95,2008,1500
有电梯,14,2室1厅,东城,简装,70,1986,630
,7,4室3厅,朝阳,精装,145,1999,1000
有电梯,20,2室1厅,朝阳,精装,90,2007,760
有电梯,12,3室1厅,海淀,精装,124,2003,850
无电梯,5,2室1厅,大兴,毛坯,74,1996,320
,12,2室1厅,通州,精装,68,2005,344
无电梯,6,2室1厅,海淀,精装,52,1990,495
有电梯,14,2室2厅,朝阳,精装,103,2007,550
有电梯,23,3室2厅,丰台,简装,122,2008,759
有电梯,9,2室1厅,海淀,简装,68,1999,450
无电梯,6,4室2厅,海淀,其他,180,2000,1700
,18,1室1厅,海淀,简装,42,1994,370
无电梯,6,2室1厅,西城,精装,58,1984,755
有电梯,8,2室1厅,海淀,毛坯,92,2009,580
无电梯,6,2室1厅,通州,简装,74,1995,320
无电梯,7,3室2厅,通州,精装,129,2002,498
无电梯,6,2室2厅,昌平,其他,93,2001,290
,35,2室1厅,通州,简装,93,2011,505
有电梯,16,2室1厅,朝阳,精装,50,1987,292
有电梯,14,2室1厅,海淀,精装,158,2001,1580
有电梯,19,2室1厅,朝阳,简装,99,2005,510
无电梯,6,2室1厅,丰台,简装,97,2009,468
有电梯,27,3室2厅,石景山,精装,139,2007,1080
有电梯,18,2室1厅,昌平,简装,83,2004,380
无电梯,6,3室2厅,顺义,精装,156,2002,454
有电梯,9,1室1厅,亦庄开发区,精装,49,2005,360
无电梯,6,2室1厅,西城,毛坯,55,1986,510
,18,2室1厅,西城,精装,59,1992,780
无电梯,6,2室1厅,石景山,其他,67,1995,392
,6,2室2厅,顺义,简装,109,1993,404
,26,2室1厅,丰台,其他,64,1990,405
无电梯,6,2室2厅,海淀,精装,74,1998,620
有电梯,23,1室1厅,亦庄开发区,其他,46,2008,169
有电梯,25,3室2厅,亦庄开发区,精装,159,2003,980
,9,3室1厅,房山,精装,96,2012,483
,6,3室2厅,大兴,毛坯,120,2005,360
无电梯,6,2室2厅,大兴,其他,90,2003,350
有电梯,24,2室1厅,丰台,简装,76,2002,440
,24,1室1厅,丰台,简装,62,2003,388
有电梯,19,3室1厅,大兴,精装,90,2014,395
,6,3室1厅,顺义,简装,111,2005,335
,5,3室1厅,东城,精装,78,1980,864
,6,2室1厅,丰台,简装,60,1992,258
无电梯,4,4室2厅,昌平,其他,208,1999,1250
无电梯,6,3室1厅,丰台,简装,100,2005,598
,22,2室2厅,朝阳,精装,114,2005,960
无电梯,6,2室1厅,东城,其他,60,1990,690
无电梯,6,3室1厅,西城,毛坯,68,1987,549
,12,1室1厅,东城,精装,41,1980,396
,19,2室1厅,海淀,精装,74,2003,480
,21,2室2厅,朝阳,精装,95,2007,650
无电梯,6,2室1厅,丰台,简装,54,1985,289
有电梯,18,2室2厅,大兴,其他,83,2013,545
,6,3室1厅,昌平,简装,130,2003,469
有电梯,28,2室1厅,丰台,简装,96,2003,510
无电梯,6,3室2厅,顺义,精装,108,1999,470
有电梯,18,1室0厅,海淀,精装,38,2006,410
无电梯,6,2室1厅,昌平,精装,88,2006,310
无电梯,6,3室2厅,昌平,精装,144,1995,395
无电梯,6,3室1厅,昌平,精装,123,2007,525
,16,2室1厅,石景山,简装,79,1997,330
有电梯,16,2室1厅,朝阳,简装,54,1986,375
有电梯,9,1室1厅,海淀,简装,82,2005,815
,18,3室2厅,朝阳,精装,138,2010,850
,13,2室1厅,丰台,精装,85,2004,410
有电梯,20,2室1厅,石景山,精装,87,2005,460
有电梯,20,3室1厅,通州,精装,88,2010,340
有电梯,15,2室1厅,海淀,精装,122,2003,1180
,6,2室1厅,东城,精装,72,2002,810
,6,2室1厅,丰台,精装,48,1984,325
无电梯,6,2室2厅,昌平,精装,106,2003,450
有电梯,18,2室1厅,大兴,简装,91,2009,478
无电梯,6,3室2厅,通州,简装,138,2002,530
,8,2室1厅,大兴,其他,90,2008,485
有电梯,28,3室1厅,丰台,简装,92,2014,435
无电梯,6,2室1厅,海淀,其他,65,1996,413
,8,3室1厅,昌平,精装,116,2012,638
无电梯,7,3室2厅,丰台,精装,103,1999,495
有电梯,12,2室1厅,丰台,其他,98,2003,370
无电梯,5,4室2厅,亦庄开发区,精装,167,2003,935
,16,2室1厅,海淀,简装,59,1991,425
有电梯,16,2室1厅,西城,其他,52,1986,750
无电梯,6,4室2厅,昌平,简装,186,1995,498
,6,2室1厅,东城,精装,69,1995,650
有电梯,15,2室1厅,丰台,简装,91,2006,520
无电梯,16,2室1厅,西城,简装,67,1991,640
,6,2室1厅,朝阳,简装,57,1983,375
有电梯,17,4室1厅,昌平,毛坯,187,2004,770
无电梯,6,3室2厅,房山,简装,141,2002,365
有电梯,22,3室1厅,朝阳,精装,116,2002,849
,16,3室2厅,西城,精装,143,2003,1500
无电梯,6,3室2厅,大兴,精装,139,2008,615
无电梯,6,2室1厅,石景山,精装,59,1983,305
有电梯,15,2室1厅,房山,精装,92,2006,285
无电梯,6,3室2厅,昌平,精装,111,1998,460
,6,2室1厅,通州,其他,79,1994,349
无电梯,6,2室1厅,大兴,简装,64,1998,245
无电梯,6,3室1厅,丰台,简装,89,1998,495
,18,3室2厅,平谷,其他,134,2014,360
,4,2室1厅,西城,简装,50,1955,560
有电梯,15,2室2厅,丰台,精装,108,2006,830
有电梯,25,2室1厅,朝阳,精装,84,2009,690
无电梯,6,4室3厅,昌平,精装,206,2003,640
,6,2室1厅,丰台,简装,53,1980,247
,5,2室1厅,顺义,精装,61,1991,255
无电梯,6,2室2厅,昌平,精装,83,2013,325
无电梯,6,3室2厅,昌平,精装,162,2000,490
有电梯,19,2室1厅,大兴,精装,127,2006,420
有电梯,12,1室1厅,通州,简装,70,2004,330
,6,2室1厅,东城,简装,80,2009,760
无电梯,6,2室1厅,西城,其他,58,1984,700
,15,3室1厅,房山,精装,88,2012,365
,22,1室0厅,通州,其他,57,2009,275
有电梯,12,3室1厅,房山,精装,116,2012,420
无电梯,6,2室1厅,海淀,简装,64,1985,568
,6,2室1厅,昌平,精装,75,1999,400
有电梯,12,3室1厅,海淀,精装,137,2008,930
有电梯,22,3室2厅,朝阳,精装,175,2005,805
无电梯,6,2室1厅,丰台,精装,70,1995,350
有电梯,13,1室1厅,朝阳,精装,66,2008,475
,6,3室1厅,顺义,精装,91,1998,378
,24,2室2厅,西城,精装,102,2009,900
,18,2室1厅,大兴,精装,88,2012,490
,15,2室1厅,顺义,简装,91,2013,325
,18,2室1厅,昌平,毛坯,87,2016,490
有电梯,8,3室1厅,顺义,精装,138,2014,550
无电梯,6,2室1厅,西城,简装,64,1980,485
无电梯,6,2室1厅,通州,精装,80,2003,368
有电梯,18,3室2厅,通州,精装,147,2012,900
无电梯,7,3室2厅,通州,精装,116,2002,585
无电梯,6,2室1厅,门头沟,精装,99,2005,406
有电梯,21,1室1厅,东城,其他,69,2005,560
无电梯,6,2室2厅,海淀,其他,94,2000,860
无电梯,6,3室1厅,大兴,其他,91,1994,295
,6,1室1厅,东城,精装,60,1988,720
,5,2室1厅,海淀,精装,58,1992,540
有电梯,10,2室1厅,西城,精装,70,1995,800
无电梯,5,3室1厅,东城,精装,84,1988,780
,15,2室2厅,亦庄开发区,其他,90,2013,350
有电梯,12,4室2厅,昌平,精装,214,2005,496
无电梯,6,2室1厅,昌平,精装,101,2008,430
,27,3室1厅,丰台,简装,95,1994,535
,22,2室1厅,海淀,精装,75,2003,600
,28,1室1厅,昌平,精装,48,2009,268
,5,2室2厅,丰台,精装,58,1995,288
无电梯,6,3室1厅,东城,简装,71,1990,760
有电梯,24,2室2厅,通州,其他,97,2002,418
无电梯,18,1室0厅,西城,简装,51,2000,545
无电梯,6,3室1厅,昌平,精装,135,2000,508
无电梯,6,1室1厅,海淀,简装,44,1988,380
,7,3室1厅,昌平,简装,106,2002,450
有电梯,16,2室2厅,海淀,精装,107,2000,1090
有电梯,23,2室1厅,昌平,精装,106,2008,460
有电梯,22,4室2厅,海淀,简装,257,2004,1800
,7,3室1厅,丰台,简装,134,2002,670
,24,1室1厅,丰台,简装,66,2002,385
有电梯,16,3室1厅,东城,精装,98,2003,1250
有电梯,24,3室1厅,丰台,简装,117,2000,700
有电梯,9,2室1厅,海淀,精装,82,2008,560
有电梯,14,3室1厅,昌平,精装,132,2008,540
有电梯,20,3室1厅,海淀,简装,141,2000,1300
,6,2室1厅,海淀,精装,79,1997,800
有电梯,24,1室1厅,东城,精装,100,2006,1050
,8,2室1厅,昌平,简装,84,2013,430
有电梯,16,2室2厅,石景山,精装,103,2004,529
,7,3室2厅,朝阳,简装,122,1999,1030
,7,2室1厅,顺义,精装,110,2004,330
有电梯,28,2室1厅,朝阳,简装,114,2001,690
无电梯,6,2室1厅,昌平,精装,88,2003,480
无电梯,6,2室1厅,海淀,精装,58,1989,535
无电梯,6,3室1厅,石景山,简装,61,1982,345
无电梯,6,1室1厅,海淀,精装,43,1988,530
有电梯,19,4室2厅,门头沟,毛坯,220,2015,945
有电梯,19,4室1厅,西城,精装,147,2003,2338
无电梯,5,2室1厅,通州,简装,66,1997,244
有电梯,16,1室1厅,石景山,精装,69,1994,315
有电梯,11,1室1厅,房山,精装,59,2009,235
无电梯,6,2室1厅,昌平,精装,68,1996,325
无电梯,6,2室1厅,海淀,精装,95,2002,960
有电梯,24,2室1厅,朝阳,精装,93,2007,608
有电梯,18,1室1厅,东城,精装,62,2004,465
,6,2室1厅,朝阳,其他,54,1993,320
无电梯,6,1室1厅,大兴,简装,41,1988,190
,33,2室1厅,大兴,精装,87,2013,470
,6,2室1厅,朝阳,精装,54,1984,425
,16,3室2厅,丰台,精装,135,2006,900
无电梯,6,2室1厅,昌平,精装,110,2001,400
有电梯,24,3室2厅,通州,简装,137,2003,620
有电梯,29,1室1厅,朝阳,简装,70,2009,570
,6,3室1厅,昌平,简装,75,1985,265
无电梯,6,2室1厅,大兴,其他,77,1996,265
无电梯,6,2室1厅,门头沟,精装,82,2003,296
,6,2室1厅,昌平,精装,89,2012,390
有电梯,22,2室1厅,通州,精装,89,2008,285
,6,2室1厅,顺义,精装,71,1987,360
有电梯,26,1室1厅,西城,精装,61,2006,520
有电梯,14,2室1厅,朝阳,简装,91,2003,450
,21,2室1厅,东城,简装,69,2003,940
,6,4室2厅,朝阳,精装,123,1995,590
,18,2室1厅,朝阳,精装,89,2009,432
,6,3室2厅,丰台,其他,120,2005,590
有电梯,15,3室2厅,昌平,其他,104,2013,430
,27,2室1厅,石景山,简装,76,2000,440
有电梯,21,3室1厅,西城,简装,85,2003,1055
,21,2室1厅,朝阳,简装,103,2006,660
无电梯,6,2室1厅,昌平,简装,83,1997,280
无电梯,6,1室1厅,昌平,简装,77,2002,270
有电梯,24,2室1厅,朝阳,精装,90,2008,540
有电梯,20,2室1厅,海淀,简装,92,1999,660
,20,2室1厅,丰台,精装,63,2006,365
有电梯,15,3室1厅,大兴,其他,129,2008,622
有电梯,17,2室1厅,海淀,精装,89,2007,760
,21,3室1厅,昌平,其他,122,2010,460
有电梯,11,2室2厅,昌平,精装,156,2007,580
无电梯,6,2室1厅,海淀,精装,52,1998,480
,6,1室1厅,石景山,精装,46,1996,230
,6,3室1厅,西城,精装,73,1979,660
有电梯,21,1室1厅,丰台,精装,66,2004,350
,21,2室1厅,西城,简装,69,2003,855
,6,3室1厅,大兴,精装,88,1994,382
有电梯,31,1室1厅,朝阳,精装,64,2003,360
无电梯,7,2室1厅,通州,精装,85,2001,427
无电梯,6,3室2厅,昌平,其他,123,1998,359
无电梯,6,2室1厅,朝阳,精装,63,1982,432
,26,1室1厅,西城,精装,36,2006,355
,5,2室1厅,房山,简装,53,1981,188
,6,2室1厅,昌平,简装,66,1993,270
无电梯,6,3室1厅,海淀,简装,58,1981,565
有电梯,8,2室1厅,昌平,其他,87,2013,415
有电梯,9,4室2厅,丰台,精装,235,2002,1100
,9,3室2厅,亦庄开发区,精装,153,2005,780
无电梯,6,2室1厅,海淀,简装,63,1990,545
,6,2室2厅,大兴,其他,90,2012,343
有电梯,23,1室0厅,昌平,精装,50,2008,275
,6,2室1厅,东城,简装,56,1980,560
无电梯,6,2室1厅,朝阳,精装,55,1997,450
有电梯,14,3室1厅,海淀,其他,198,2001,1487
有电梯,28,2室1厅,朝阳,精装,113,2007,1280
有电梯,16,3室1厅,海淀,精装,115,1995,985
